Time,GPU_ID,Utilization
1736203508.750246,0,0
1736203508.8521,0,0
1736203508.953956,0,0
1736203509.0558128,0,0
1736203509.1577091,0,0
1736203509.2595258,0,0
1736203509.3612347,0,0
1736203509.4629576,0,0
1736203509.5646791,0,0
1736203509.6664996,0,0
1736203509.7686605,0,0
1736203509.8707292,0,0
1736203509.9725628,0,0
1736203510.07439,0,0
1736203510.1763237,0,0
1736203510.2781837,0,0
1736203510.3799572,0,0
1736203510.4815729,0,0
1736203510.583299,0,0
1736203510.6850195,0,0
1736203510.7868152,0,0
1736203510.8888874,0,0
1736203510.990914,0,0
1736203511.0927193,0,0
1736203511.194531,0,0
1736203511.2964883,0,0
1736203511.3983605,0,0
1736203511.5001965,0,0
1736203511.6018524,0,0
1736203511.7036364,0,0
1736203511.805335,0,0
1736203511.9071286,0,0
1736203512.0091553,0,0
1736203512.1112509,0,0
1736203512.213145,0,0
1736203512.3149993,0,0
1736203512.4168575,0,0
1736203512.5187173,0,0
1736203512.6204655,0,0
1736203512.7220335,0,0
1736203512.8237107,0,0
1736203512.9256601,0,0
1736203513.0275052,0,0
1736203513.12938,0,0
1736203513.2314932,0,0
1736203513.3403263,0,0
1736203513.4420655,0,0
1736203513.5437894,0,0
1736203513.6453583,0,0
1736203513.7469811,0,0
1736203513.8488488,0,0
1736203513.9508038,0,0
1736203514.0525982,0,0
1736203514.1544046,0,0
1736203514.256204,0,0
1736203514.3579872,0,0
1736203514.4597785,0,0
1736203514.56155,0,0
1736203514.6631851,0,0
1736203514.764875,0,0
1736203514.8665786,0,0
1736203514.9685643,0,0
1736203515.0995002,0,0
1736203515.2013462,0,0
1736203515.3096964,0,0
1736203515.4124224,0,0
1736203515.513781,0,0
1736203515.615085,0,7
1736203515.716522,0,7
1736203515.817872,0,0
1736203515.9192026,0,0
1736203516.0205445,0,0
1736203516.121867,0,0
1736203516.2231836,0,0
1736203516.32501,0,0
1736203516.4267063,0,50
1736203516.5282142,0,50
1736203516.6298788,0,16
1736203516.7315013,0,16
1736203516.8387067,0,0
1736203516.94021,0,18
1736203517.041638,0,18
1736203517.1427648,0,14
1736203517.2438889,0,14
1736203517.3451328,0,0
1736203517.4464188,0,0
1736203517.547703,0,0
1736203517.6493099,0,0
1736203517.7507794,0,0
1736203517.8520575,0,0
1736203517.9533868,0,0
1736203518.0547109,0,0
1736203518.1559696,0,0
1736203518.2573433,0,0
1736203518.358667,0,0
1736203518.460008,0,0
1736203518.5613847,0,0
1736203518.6627407,0,0
1736203518.7641149,0,0
1736203518.8654513,0,0
1736203518.9669068,0,0
1736203519.0686269,0,0
1736203519.1702194,0,0
1736203519.2718241,0,0
1736203519.3731086,0,0
1736203519.474399,0,0
1736203519.5757468,0,0
1736203519.6770754,0,0
1736203519.7784593,0,0
1736203519.8798068,0,0
1736203519.9811342,0,0
1736203520.0824769,0,0
1736203520.1838062,0,0
1736203520.2851367,0,0
1736203520.3864453,0,0
1736203520.487739,0,0
1736203520.589202,0,0
1736203520.6907687,0,0
1736203520.7920542,0,0
1736203520.893392,0,0
1736203520.9947107,0,0
1736203521.0960302,0,0
1736203521.197386,0,0
1736203521.2987158,0,0
1736203521.4000556,0,0
1736203521.5013714,0,0
1736203521.602681,0,0
1736203521.704013,0,0
1736203521.8053665,0,0
1736203521.9067376,0,0
1736203522.0083272,0,0
1736203522.1100013,0,0
1736203522.2116861,0,0
1736203522.3130436,0,0
1736203522.4144132,0,0
1736203522.515789,0,0
1736203522.617144,0,0
1736203522.7185519,0,0
1736203522.8199039,0,0
1736203522.9212494,0,0
1736203523.0225759,0,0
1736203523.1238902,0,0
1736203523.2253041,0,0
1736203523.3268957,0,0
1736203523.4285424,0,0
1736203523.530221,0,0
1736203523.6389134,0,0
1736203523.7409005,0,0
1736203523.8421123,0,0
1736203523.9433827,0,0
1736203524.0447106,0,0
1736203524.1459696,0,0
1736203524.2472403,0,0
1736203524.3487198,0,0
1736203524.4502733,0,0
1736203524.551758,0,0
1736203524.6530957,0,0
1736203524.754417,0,0
1736203524.8557322,0,0
1736203524.9570487,0,0
1736203525.0583453,0,0
1736203525.1596973,0,0
1736203525.2610476,0,0
1736203525.362481,0,0
1736203525.4638188,0,0
1736203525.5651646,0,0
1736203525.666881,0,0
1736203525.7686474,0,0
1736203525.8701851,0,0
1736203525.9717896,0,0
1736203526.0730793,0,0
1736203526.1744027,0,0
1736203526.275724,0,0
1736203526.3770394,0,0
1736203526.4783409,0,0
1736203526.5796795,0,0
1736203526.6809964,0,0
1736203526.782292,0,0
1736203526.883665,0,0
1736203526.9849465,0,0
1736203527.0862446,0,0
1736203527.1875203,0,0
1736203527.2889585,0,0
1736203527.3905568,0,0
1736203527.4918056,0,0
