Time,GPU_ID,Utilization
1736204105.1334295,0,0
1736204105.235596,0,0
1736204105.3377368,0,0
1736204105.4399035,0,0
1736204105.5487006,0,0
1736204105.6503987,0,0
1736204105.7519264,0,0
1736204105.8536336,0,0
1736204105.9554017,0,0
1736204106.0573711,0,0
1736204106.1594868,0,0
1736204106.2613618,0,0
1736204106.3631392,0,0
1736204106.4648979,0,0
1736204106.5666673,0,0
1736204106.66849,0,0
1736204106.7702572,0,0
1736204106.8718562,0,0
1736204106.9735348,0,0
1736204107.0753324,0,0
1736204107.177313,0,0
1736204107.2794757,0,0
1736204107.381236,0,0
1736204107.483026,0,0
1736204107.5850382,0,0
1736204107.68683,0,0
1736204107.7890568,0,0
1736204107.890692,0,0
1736204107.992473,0,0
1736204108.0942528,0,0
1736204108.19607,0,0
1736204108.2979758,0,0
1736204108.3999248,0,0
1736204108.501732,0,0
1736204108.6036532,0,0
1736204108.705428,0,0
1736204108.8072827,0,0
1736204108.909008,0,0
1736204109.0106745,0,0
1736204109.1124601,0,0
1736204109.2141857,0,0
1736204109.349399,0,0
1736204109.4511876,0,0
1736204109.5549395,0,0
1736204109.6590486,0,0
1736204109.7604406,0,7
1736204109.8616865,0,7
1736204109.9628417,0,0
1736204110.064011,0,0
1736204110.165141,0,0
1736204110.2663002,0,0
1736204110.367439,0,0
1736204110.4686065,0,0
1736204110.5698605,0,25
1736204110.671,0,25
1736204110.7721655,0,42
1736204110.873323,0,42
1736204110.9748218,0,0
1736204111.076589,0,0
1736204111.1782727,0,6
1736204111.2799897,0,6
1736204111.3811097,0,4
1736204111.4824212,0,4
1736204111.5837944,0,0
1736204111.6851048,0,0
1736204111.7864175,0,0
1736204111.8878484,0,0
1736204111.9891517,0,0
1736204112.0904486,0,0
1736204112.1916878,0,0
1736204112.2929962,0,0
1736204112.3943605,0,0
1736204112.4956837,0,0
1736204112.597176,0,0
1736204112.698871,0,0
1736204112.8004065,0,0
1736204112.901499,0,0
1736204113.0028017,0,0
1736204113.104115,0,0
1736204113.2054808,0,0
1736204113.3068328,0,0
1736204113.4081368,0,0
1736204113.5095756,0,0
1736204113.6109426,0,0
1736204113.712234,0,0
1736204113.8135834,0,0
1736204113.914906,0,0
1736204114.0161953,0,0
1736204114.1179993,0,0
1736204114.219731,0,0
1736204114.3210223,0,0
1736204114.4222765,0,0
1736204114.5236635,0,0
1736204114.6250448,0,0
1736204114.7264318,0,0
1736204114.8278618,0,0
1736204114.9292028,0,0
1736204115.0305736,0,0
1736204115.13194,0,0
1736204115.233514,0,0
1736204115.3351412,0,0
1736204115.4367263,0,0
1736204115.5388613,0,0
1736204115.6480813,0,0
1736204115.7497072,0,0
1736204115.8509946,0,0
1736204115.9522033,0,0
1736204116.0534139,0,0
1736204116.1546516,0,0
1736204116.2557821,0,0
1736204116.3574097,0,0
1736204116.4589205,0,0
1736204116.5605,0,0
1736204116.66159,0,0
1736204116.7629092,0,0
1736204116.864245,0,0
1736204116.9656036,0,0
1736204117.0669696,0,0
1736204117.1682668,0,0
1736204117.2695546,0,0
1736204117.37097,0,0
1736204117.472288,0,0
1736204117.573667,0,0
1736204117.6754172,0,0
1736204117.7772698,0,0
1736204117.8786597,0,0
1736204117.9803128,0,0
1736204118.0814283,0,0
1736204118.1826541,0,0
1736204118.283906,0,0
1736204118.3852391,0,0
1736204118.4865158,0,0
1736204118.5879357,0,0
1736204118.6892734,0,0
1736204118.7905772,0,0
1736204118.8918993,0,0
1736204118.993192,0,0
1736204119.0944917,0,0
1736204119.1958156,0,0
1736204119.2973566,0,0
1736204119.3989394,0,0
1736204119.5004041,0,0
1736204119.601482,0,0
1736204119.7027721,0,0
1736204119.8040879,0,0
1736204119.9055893,0,0
1736204120.0069504,0,0
1736204120.1081805,0,0
1736204120.2095551,0,0
1736204120.3108325,0,0
1736204120.41219,0,0
1736204120.513481,0,0
1736204120.6147637,0,0
1736204120.7160904,0,0
1736204120.8178394,0,0
1736204120.9196305,0,0
1736204121.0209672,0,0
1736204121.122286,0,0
1736204121.224261,0,0
1736204121.3254664,0,0
1736204121.4267855,0,0
1736204121.5281134,0,0
1736204121.6293788,0,0
1736204121.7307525,0,0
1736204121.832065,0,0
1736204121.933578,0,0
1736204122.0350718,0,0
1736204122.136579,0,0
1736204122.2381108,0,0
1736204122.339791,0,0
1736204122.4479373,0,0
1736204122.549394,0,0
1736204122.650599,0,0
1736204122.751882,0,0
1736204122.8531823,0,0
1736204122.9544067,0,0
1736204123.0556653,0,0
1736204123.1570408,0,0
1736204123.2596989,0,0
1736204123.361127,0,58
1736204123.4624455,0,58
1736204123.5638149,0,100
1736204123.665117,0,100
1736204123.76647,0,100
1736204123.8679445,0,100
1736204123.9693184,0,100
1736204124.0706599,0,100
1736204124.1719594,0,100
1736204124.292511,0,100
1736204124.3937087,0,49
1736204124.495098,0,49
1736204124.5962594,0,3
1736204124.6977117,0,3
1736204124.7994404,0,2
1736204124.900877,0,2
1736204125.0050004,0,39
1736204125.1092136,0,39
1736204125.2172427,0,96
1736204125.3208034,0,96
1736204125.424836,0,92
1736204125.532962,0,92
1736204125.6365104,0,100
1736204125.748946,0,100
1736204125.8519685,0,100
1736204125.9532382,0,100
1736204126.05452,0,100
1736204126.155891,0,100
1736204126.2572086,0,100
1736204126.3688133,0,91
1736204126.4700913,0,91
1736204126.5811033,0,100
1736204126.6848574,0,100
1736204126.7888243,0,100
1736204126.8928745,0,100
1736204127.000885,0,100
1736204127.104886,0,100
1736204127.2088592,0,100
1736204127.3158352,0,100
1736204127.4208431,0,100
1736204127.524921,0,100
1736204127.6262987,0,100
1736204127.7277544,0,100
1736204127.8325028,0,90
1736204127.9570222,0,90
1736204128.0608277,0,100
1736204128.164841,0,100
1736204128.2728455,0,100
1736204128.3773966,0,100
1736204128.4808323,0,100
1736204128.5849266,0,100
1736204128.686657,0,100
1736204128.788301,0,100
1736204128.8896735,0,100
1736204128.991007,0,100
1736204129.0923798,0,100
1736204129.1947944,0,90
1736204129.296225,0,90
1736204129.4037194,0,100
1736204129.5088654,0,100
1736204129.6102445,0,98
1736204129.711622,0,98
1736204129.8170779,0,100
1736204129.9187224,0,100
1736204130.0215745,0,100
1736204130.124857,0,100
1736204130.2263868,0,100
1736204130.327807,0,100
1736204130.4292464,0,100
1736204130.5306706,0,100
1736204130.6327195,0,100
1736204130.736704,0,100
1736204130.8380065,0,88
1736204130.9393685,0,88
1736204131.0469806,0,100
1736204131.1484783,0,100
1736204131.2496202,0,100
